session_id,match_index,agent_label,bayesian_on,cambio_caller,cambio_caller_turn,cambio_ai_score,cambio_player_score,cambio_caller_was_ahead,cambio_ai_believed_score,guard_believed_own_mean,guard_believed_opp_mean,guard_p_ahead
20260809_184403,1,bayesian,1,Player,3,21,7,1,,,,
20260809_184403,2,bayesian,1,AI,3,9,20,1,11.778,8.976,16.48,0.746
20260809_184403,3,bayesian,1,Player,7,31,11,1,,,,
20260809_184403,4,bayesian,1,AI,1,24,26,1,15.778,16,21.372,0.652
20260809_184403,5,bayesian,1,AI,1,10,7,0,11.778,12.078,22.131,0.835
20260809_184403,6,bayesian,1,AI,2,13,26,1,11.778,11.102,17.608,0.704
20260809_184403,7,bayesian,1,AI,7,11,19,1,11.889,9.017,16.102,0.798
20260809_184403,8,bayesian,1,Player,7,32,9,1,,,,
20260809_184403,9,bayesian,1,Player,6,12,11,1,,,,
20260809_184403,10,bayesian,1,Player,6,12,5,1,,,,
20260809_184403,11,bayesian,1,AI,7,48,44,0,36.667,31.995,38.859,0.697
